STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,MTM_CRSH,MTM_CRSHNAME
1,Alabama,10295,0,1,0,None Noted
1,Alabama,10295,0,2,0,None Noted
1,Alabama,10316,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10324,0,1,0,None Noted
1,Alabama,10337,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10341,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10343,0,1,0,None Noted
1,Alabama,10345,0,1,0,None Noted
1,Alabama,10359,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10360,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10365,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10366,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10366,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10372,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10379,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10379,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10408,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10417,0,1,0,None Noted
1,Alabama,10448,0,1,0,None Noted
1,Alabama,10453,0,1,0,None Noted
1,Alabama,10459,0,1,99,Unknown
1,Alabama,10466,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10467,0,1,11,Dash
1,Alabama,10467,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10475,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10475,0,1,11,Dash
1,Alabama,10475,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10485,0,1,0,None Noted
1,Alabama,10490,0,1,0,None Noted
1,Alabama,10491,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10491,0,2,0,None Noted
1,Alabama,10508,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10515,0,1,0,None Noted
1,Alabama,10530,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10531,0,1,11,Dash
1,Alabama,10531,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10536,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10538,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10573,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10573,0,1,11,Dash
1,Alabama,10583,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10583,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10591,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10591,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10592,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10617,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10619,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10622,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10622,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10623,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10624,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10625,0,1,6,"Inattentive (Talking, Eating, Etc.)"
1,Alabama,10625,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10634,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10661,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10661,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10670,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10675,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10675,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10677,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10677,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10686,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10692,0,1,11,Dash
1,Alabama,10692,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10692,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10695,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10695,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10697,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10703,0,1,6,"Inattentive (Talking, Eating, Etc.)"
1,Alabama,10703,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10715,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10715,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10719,0,1,0,None Noted
1,Alabama,10720,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10731,0,1,1,Dart-Out
1,Alabama,10731,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10731,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10738,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10738,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10746,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10750,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10750,0,2,2,Failure to Yield Right-Of-Way
1,Alabama,10751,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10752,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10760,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10760,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10767,0,1,0,None Noted
1,Alabama,10777,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10777,0,1,11,Dash
1,Alabama,10782,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10782,0,2,0,None Noted
1,Alabama,10782,0,3,0,None Noted
1,Alabama,10790,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10794,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10807,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10807,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10811,0,1,0,None Noted
1,Alabama,10812,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10812,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10816,0,1,0,None Noted
1,Alabama,10817,0,1,0,None Noted
1,Alabama,10819,0,1,0,None Noted
1,Alabama,10823,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10827,0,1,11,Dash
1,Alabama,10827,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10828,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10828,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10830,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10832,0,1,11,Dash
1,Alabama,10834,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10834,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10841,0,1,0,None Noted
1,Alabama,10841,0,2,0,None Noted
1,Alabama,10841,0,3,0,None Noted
1,Alabama,10842,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10849,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10850,0,1,0,None Noted
1,Alabama,10853,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10862,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10868,0,1,0,None Noted
1,Alabama,10873,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
2,Alaska,20001,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
2,Alaska,20004,0,1,0,None Noted
2,Alaska,20009,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
2,Alaska,20011,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
2,Alaska,20011,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
2,Alaska,20011,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
2,Alaska,20011,0,1,21,Other (Specify:)
2,Alaska,20016,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
2,Alaska,20016,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
2,Alaska,20016,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
2,Alaska,20016,0,1,21,Other (Specify:)
2,Alaska,20018,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
2,Alaska,20018,0,1,21,Other (Specify:)
2,Alaska,20018,0,2,12,Improper Crossing of Roadway or Intersection (Jaywalking)
2,Alaska,20018,0,2,21,Other (Specify:)
2,Alaska,20024,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
2,Alaska,20029,0,1,99,Unknown
2,Alaska,20036,0,1,0,None Noted
2,Alaska,20053,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
2,Alaska,20053,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
2,Alaska,20055,0,1,0,None Noted
2,Alaska,20057,0,1,0,None Noted
2,Alaska,20060,0,1,0,None Noted
2,Alaska,20061,0,1,0,None Noted
2,Alaska,20063,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
2,Alaska,20063,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
2,Alaska,20063,0,1,21,Other (Specify:)
2,Alaska,20065,0,1,0,None Noted
2,Alaska,20073,0,1,99,Unknown
4,Arizona,40007,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40007,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40007,0,1,13,Failing to Have Lights on When Required
4,Arizona,40007,0,1,14,Operating Without Required Equipment
4,Arizona,40016,0,1,21,Other (Specify:)
4,Arizona,40018,0,1,0,None Noted
4,Arizona,40021,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40023,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40023,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40023,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40024,0,1,99,Unknown
4,Arizona,40028,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40032,0,1,0,None Noted
4,Arizona,40034,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40044,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40047,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40048,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40048,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40050,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40050,0,1,11,Dash
4,Arizona,40050,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40050,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40055,0,1,99,Unknown
4,Arizona,40058,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40058,0,1,11,Dash
4,Arizona,40058,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40059,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40059,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40060,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40060,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40062,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40062,0,1,11,Dash
4,Arizona,40062,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40063,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40063,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40064,0,1,0,None Noted
4,Arizona,40067,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40067,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40067,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40068,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40068,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40070,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40070,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40071,0,1,0,None Noted
4,Arizona,40073,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40073,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40074,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40074,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40075,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40075,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40075,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40077,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40077,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40077,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40084,0,1,99,Unknown
4,Arizona,40088,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40089,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40089,0,1,7,Improper Turn/Merge
4,Arizona,40093,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40093,0,1,11,Dash
4,Arizona,40093,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40093,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40097,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40097,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40097,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40099,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40099,0,1,11,Dash
4,Arizona,40099,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40099,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40103,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40105,0,1,1,Dart-Out
4,Arizona,40105,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40105,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40105,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40107,0,1,99,Unknown
4,Arizona,40111,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40114,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40114,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40117,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40117,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40117,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40121,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40121,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40122,0,1,99,Unknown
4,Arizona,40124,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40124,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40125,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40125,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40126,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40126,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40131,0,1,99,Unknown
4,Arizona,40133,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40133,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40133,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40137,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40138,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40138,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40138,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40139,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40139,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40148,0,1,9,Wrong-Way Riding or Walking
4,Arizona,40149,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40149,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40151,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40151,0,1,16,Failure to Keep in Proper Lane or Running Off Road
4,Arizona,40161,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40161,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40163,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40163,0,1,11,Dash
4,Arizona,40163,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40167,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40167,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40167,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40168,0,1,99,Unknown
4,Arizona,40173,0,1,99,Unknown
4,Arizona,40178,0,1,0,None Noted
4,Arizona,40185,0,1,0,None Noted
4,Arizona,40188,0,1,0,None Noted
4,Arizona,40190,0,1,0,None Noted
4,Arizona,40193,0,1,99,Unknown
4,Arizona,40196,0,1,0,None Noted
4,Arizona,40200,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40200,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40201,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40201,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40205,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40205,0,1,11,Dash
4,Arizona,40205,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40206,0,1,0,None Noted
4,Arizona,40207,0,1,99,Unknown
4,Arizona,40210,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40210,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40213,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40213,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40218,0,1,0,None Noted
4,Arizona,40220,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40220,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40225,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40225,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40225,0,1,11,Dash
4,Arizona,40225,0,2,2,Failure to Yield Right-Of-Way
4,Arizona,40225,0,2,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40225,0,2,11,Dash
4,Arizona,40237,0,1,99,Unknown
4,Arizona,40241,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40241,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40250,0,1,0,None Noted
4,Arizona,40250,0,2,0,None Noted
4,Arizona,40250,0,3,0,None Noted
4,Arizona,40250,0,4,0,None Noted
4,Arizona,40250,0,5,0,None Noted
4,Arizona,40255,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40255,0,2,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40255,0,3,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40255,0,4,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40264,0,1,0,None Noted
4,Arizona,40265,0,1,99,Unknown
4,Arizona,40268,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40268,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40270,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40270,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40272,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40275,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40275,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40288,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40288,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40303,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40303,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40308,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40308,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40313,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40313,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40313,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40316,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40316,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40317,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40317,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40320,0,1,15,Improper or Erratic Lane Changing
4,Arizona,40323,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40323,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40330,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40330,0,1,17,Making Improper Entry to or Exit From Trafficway
4,Arizona,40335,0,1,99,Unknown
4,Arizona,40350,0,1,99,Unknown
4,Arizona,40355,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40355,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40356,0,1,0,None Noted
4,Arizona,40360,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40361,0,1,99,Unknown
4,Arizona,40366,0,1,9,Wrong-Way Riding or Walking
4,Arizona,40368,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40368,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40369,0,1,0,None Noted
